opp,year,opp_avg,opp_league,league_average,multiplier
CHW,2019,124.50828426422600,AL,100.484075,0.807047302866668
CIN,2019,111.68966025682100,NL,100.210106,0.897219185460635
CLE,2019,100.15781625562300,AL,100.484075,1.00325744666342
COL,2019,110.63437017119300,NL,100.210106,0.905777344282227
DET,2019,134.44041170420200,AL,100.484075,0.747424630185503
HOU,2019,82.35008506730510,AL,100.484075,1.22020608622169
KCR,2019,107.79264852670400,AL,100.484075,0.932197848122329
LAA,2019,93.29355397267180,AL,100.484075,1.07707414629562
LAD,2019,83.53794661976110,NL,100.210106,1.19957588203748
MIA,2019,129.61091430862300,NL,100.210106,0.773161014522162
MIL,2019,90.43183095230400,NL,100.210106,1.10812868593641
MIN,2019,76.39464471400320,AL,100.484075,1.31532878222263
NYM,2019,103.15645274032800,NL,100.210106,0.971438076222486
NYY,2019,76.1244118702959,AL,100.484075,1.31999804702871
OAK,2019,86.0139823358811,AL,100.484075,1.16822953979289
PHI,2019,103.67835714289300,NL,100.210106,0.966547973574534
PIT,2019,106.76418409135000,NL,100.210106,0.938611640718931
SDP,2019,104.26501023087100,NL,100.210106,0.961109635707201
SEA,2019,97.86928165758610,AL,100.484075,1.02671720174224
SFG,2019,106.93653875086000,NL,100.210106,0.937098836100061
STL,2019,94.15917151345630,NL,100.210106,1.0642628263321
TBR,2019,101.18124507935000,AL,100.484075,0.993109690646688
TEX,2019,100.82031940402700,AL,100.484075,0.996664914314747
TOR,2019,108.7022491697980,AL,100.484075,0.924397386139078
WSN,2019,83.52285954978550,NL,100.210106,1.19979256625269
ARI,2020,116.41158905441300,NL,102.321264,0.878961148379936
ATL,2020,75.53725737541310,NL,102.321264,1.35458007816557
BAL,2020,124.36149619114100,AL,102.871767,0.827199496232244
BOS,2020,100.6196136949980,AL,102.871767,1.02238284587167
CHC,2020,111.82240604925500,NL,102.321264,0.915033646789267
CHW,2020,88.89441243474380,AL,102.871767,1.15723546826429
CIN,2020,84.87391315578380,NL,102.321264,1.20556788529583
CLE,2020,103.32420013114500,AL,102.871767,0.995621227838486
COL,2020,120.09525190525500,NL,102.321264,0.852000910749767
DET,2020,128.71542315000800,AL,102.871767,0.79921865214327
HOU,2020,103.62935365166900,AL,102.871767,0.992689458874601
KCR,2020,93.43794984152820,AL,102.871767,1.10096344338111
LAA,2020,93.46354179984140,AL,102.871767,1.10066198026506
LAD,2020,69.91685348032560,NL,102.321264,1.46347066417674
MIA,2020,128.23781042542700,NL,102.321264,0.7979024568538
MIL,2020,124.35645086924800,NL,102.321264,0.822806241934193
MIN,2020,105.1395185035560,AL,102.871767,0.978431026355905
NYM,2020,114.99472348542700,NL,102.321264,0.889790947781764
NYY,2020,83.97327366866260,AL,102.871767,1.22505366893169
OAK,2020,112.37493362829400,AL,102.871767,0.91543339496219
PHI,2020,70.62339147912310,NL,102.321264,1.44882965625132
PIT,2020,134.84776540925900,NL,102.321264,0.758790949849691
SDP,2020,60.25311612217510,NL,102.321264,1.69819041047642
SEA,2020,123.69177646529600,AL,102.871767,0.831678305055814
SFG,2020,99.89685116719950,NL,102.321264,1.02426916168501
STL,2020,114.42220327396400,NL,102.321264,0.894243084578695
TBR,2020,87.55226635782150,AL,102.871767,1.17497548926453
TEX,2020,86.86489898969260,AL,102.871767,1.18427314365733
TOR,2020,99.81879977957080,AL,102.871767,1.03058509245925
WSN,2020,114.97888778681800,NL,102.321264,0.889913496029928
